ticker,auc_test,auc_train,acc_test,acc_train
ICLR,0.5341673032849503,0.6727375244464072,0.5198776758409785,0.6150870406189555
CHD,0.5387831063893461,0.5880561386179364,0.5198776758409785,0.5613152804642166
ARMK,0.5471267324822331,0.6473592488826629,0.5671342685370742,0.5865580448065173
V,0.4113597246127367,0.5911606930986447,0.43730886850152906,0.5810444874274662
PNR,0.4768553778454768,0.6085137439662398,0.4525993883792049,0.565183752417795
PHM,0.5566324858360256,0.6302161108720726,0.481651376146789,0.5539651837524178
CI,0.522366144493804,0.6224952926194804,0.5275229357798165,0.5597678916827853
AAPL,0.426018073667353,0.6541337991480494,0.40978593272171254,0.532688588007737
HII,0.5377879867675786,0.6394304556354916,0.5515625,0.6023715415019762
NOC,0.6248395529030384,0.6399407658776477,0.5749235474006116,0.5771760154738879
ABT,0.5317153011597456,0.6242872202644498,0.5076452599388379,0.5806576402321083
BECN,0.491118947181353,0.6569692880052544,0.4938837920489297,0.602321083172147
BRO,0.4225837650461079,0.6057207775906043,0.5764525993883792,0.5969052224371373
IBP,0.4778179263274114,0.6637342022116903,0.50920245398773,0.5971933471933472
NOV,0.5492424242424243,0.6802977462331063,0.5611620795107034,0.6050290135396519
APO,0.5168217397725594,0.5890337556908839,0.5297805642633229,0.5507131537242472
CL,0.5890783064818285,0.6168855198326124,0.4801223241590214,0.5473887814313346
BIIB,0.5588794726930321,0.5971494239650664,0.5076452599388379,0.5531914893617021
DRI,0.505839142843775,0.6048680004292866,0.4923547400611621,0.5833655705996131
ENTG,0.48743079455334437,0.6287255456211673,0.5061162079510704,0.567504835589942
RRC,0.5461053108111931,0.6546205512606735,0.5458715596330275,0.518762088974855
NEE,0.5869893532198301,0.6430452430206132,0.5397553516819572,0.5969052224371373
PTC,0.5511635529334644,0.6679399627791862,0.536697247706422,0.590715667311412
ODFL,0.444606014824607,0.6981858886322112,0.5489296636085627,0.639458413926499
KKR,0.46934051398337107,0.6302309663082748,0.5504587155963303,0.5500967117988395
YETI,0.4209791186535373,0.6954528599239826,0.5083333333333333,0.6017222820236814
LIN,0.4128690000783024,0.5923686619671469,0.6055045871559633,0.5500967117988395
CTSH,0.589621581116523,0.6457548286750397,0.5152905198776758,0.5323017408123791
SPGI,0.5494292664670659,0.5955595422208475,0.5015290519877675,0.5945841392649903
ALB,0.5798987876973734,0.5659791474258307,0.4923547400611621,0.5520309477756287
AOS,0.5412894658087685,0.6452458321301553,0.5244648318042814,0.5822050290135397
WTW,0.6555735753189655,0.5882667688245726,0.6284403669724771,0.5655705996131528
